conv_x_name	program_cluster
8_Скурихин_Дмитрий_Андреевич	fuzzy
8_Кухарчук_Иван_Андреевич	fuzzy
8_Гусейнов_Сэймур_Элданизович	fuzzy
8_Клюев_Андрей_Игоревич	fuzzy
8_Корж_Даниил_Сергеевич	fuzzy
8_Артамонов_Сергей_Александрович	fuzzy
8_Сперанский_Александр_Сергеевич	fuzzy
8_Винокурова_Алина_Валерьевна	fuzzy
8_Перфильева_Нелли_Андреевна	fuzzy
8_Шишкин_Игнат_Владимирович	fuzzy
8_Антонов_Иван_Андреевич	fuzzy
8_Дементьев_Фёдор_Андреевич	fuzzy
8_Панина_Татьяна_Андреевна	fuzzy
8_Промыслов_Платон_Валерьевич	fuzzy
9_Фёдоров_Константин_Дмитриевич	fuzzy
9_Краснова_Анастасия_Александровна	fuzzy
9_Клюев_Андрей_Игоревич	fuzzy
9_Евдокимова_Софья_Александровна	fuzzy
9_Корж_Даниил_Сергеевич	fuzzy
9_Вихорева_Надежда_Дмитриевна	fuzzy
9_Фиткович_Валерия_Владимировна	fuzzy
9_Мазитова_Вероника_Рустэмовна	fuzzy
9_Малиновский_Георгий_Андреевич	fuzzy
9_Саметов_Максим_Алексеевич	fuzzy
9_Чулкова_Ксения_Павловна	fuzzy
9_Хахова_Мария_Алексеевна	fuzzy
9_Дехнич_Кирилл_Андреевич	fuzzy
9_Аскарова_Айжамал_Шамшетдиновна	fuzzy
9_Сиухина_Арина_Алексеевна	fuzzy
9_Фенелонов_Даниил_Игоревич	fuzzy
9_Попова_Анна_Романовна	fuzzy
9_Окунев_Фёдор_Алексеевич	fuzzy
9_Лобанова_Алёна_Валерьевна	fuzzy
9_Зайцева_Анастасия_Владимировна	fuzzy
9_Шишкин_Игнат_Владимирович	fuzzy
9_Винокурова_Алина_Валерьевна	fuzzy
9_Ревнивцев_Андрей_Николаевич	fuzzy
9_Кулюсов_Михаил_Алексеевич	fuzzy
9_Меньшикова_Любовь_Юрьевна	fuzzy
9_Янкова_Маргарита_Михайловна	fuzzy
9_Кузякина_Светлана_Олеговна	fuzzy
9_Васильев_Никита_Евгеньевич	fuzzy
10_Фиткович_Валерия_Владимировна	fuzzy
10_Мазитова_Вероника_Рустэмовна	fuzzy
10_Лобанова_Анастасия_Алексеевна	fuzzy
10_Терехов_Михаил_Сергеевич	fuzzy
10_Янкова_Маргарита_Михайловна	fuzzy
10_Тузова_Валерия_Ивановна	fuzzy
10_Куслина_Кристина_Николаевна	fuzzy
10_Мельникова_Дарья_Владимировна	fuzzy
10_Пчельникова_Елена_Павловна	fuzzy
10_Клюев_Андрей_Игоревич	fuzzy
10_Фенелонов_Даниил_Игоревич	fuzzy
10_Сиухина_Арина_Алексеевна	fuzzy
10_Кирюхина_Алёна_Андреевна	fuzzy
10_Манахова_Анастасия_Николаевна	fuzzy
10_Шереметьев_Владислав_Валерьевич	fuzzy
10_Чуб_Вячеслав_Валериевич	fuzzy
10_Родионова_Елизавета_Алексеевна	fuzzy
10_Лобанова_Алёна_Валерьевна	fuzzy
10_Павликова_Анна_Игоревна	fuzzy
10_Шевченко_Екатерина_Романовна	fuzzy
10_Пятина_Анна_Андреевна	fuzzy
10_Зеленин_Герман_Евгеньевич	fuzzy
10_Илизаров_Год_Эмануилович	fuzzy
10_Лещенко_Сергей_Михайлович	fuzzy
10_Гаспарян_Иосиф_Жорович	fuzzy
10_Дементьева_Анастасия_Алексеевна	fuzzy
10_Мишанин_Олег_Владиславович	fuzzy
10_Янушкевич_Иван_Михайлович	fuzzy
10_Ляпунов_Александр_Александрович	fuzzy
10_Захарычев_Арсений_Романович	fuzzy
10_Муджиков_Владислав_Джангарович	fuzzy
10_Ковалева_Ксения_Станиславовна	fuzzy
10_Гордеев_Никита_Валерьевич	fuzzy
10_Орлов_Даниил_Ильич	fuzzy
10_Горшков_Егор_Дмитриевич	fuzzy
10_Белугин_Никита_Романович	fuzzy
11_Малиновский_Георгий_Андреевич	fuzzy
11_Евдокимова_Софья_Александровна	fuzzy
11_Пчельникова_Елена_Павловна	fuzzy
11_Шереметьев_Владислав_Валерьевич	fuzzy
11_Бабаджанова_Елена_Александровна	fuzzy
11_Лобанова_Алёна_Валерьевна	fuzzy
11_Шевченко_Екатерина_Романовна	fuzzy
11_Макаров_Никита_Михайлович	fuzzy
11_Белан_Андрей_Владимирович	fuzzy
11_Бароян_Аида_Гришевна	fuzzy
11_Гаспарян_Иосиф_Жорович	fuzzy
11_Садовицкая_Елизавета_Петровна	fuzzy
11_Приходко_Макар_Александрович	fuzzy
11_Арефьева_Варвара_Ярославовна	fuzzy
11_Заводян_Михаил_Игоревич	fuzzy
11_Уваров_Андрей_Михайлович	fuzzy
11_Майданик_Анна_Кирилловна	fuzzy
11_Мазитова_Вероника_Рустэмовна	fuzzy
11_Терехов_Михаил_Сергеевич	fuzzy
11_Поликарпов_Александр_Валерьевич	fuzzy
11_Каляев_Тимур_Джанбулатович	fuzzy
11_Маммагаджиев_Руслан_Гаджимагомедович	fuzzy
11_Третьякова_Екатерина_Алексеевна	fuzzy
1_Сафина_Диана_Ураловна	education
2_Никифоров_Сергей_Игоревич	education
2_Сергеева_Элина_Александровна	education
2_Сапунов_Кирилл_Вячеславович	education
3_Остроухова_Наталья_Владимировна	education
3_Локтионов_Фёдор_Михайлович	education
3_Медведева_Яна_Григорьевна	education
