convocation_no	year_stream_no	year_no	stream_no	announcement_link	announcement_link_date	announcement_link_time	election_date	stream_size	voted_cnt	NOTA_cnt	invalid_cnt	result_link	result_link_date	result_link_time
6	2.2	2.0	2.0	https://vk.com/wall-33327655_5129	2016-10-17	23:11	2016-10-18	128.0	81.0	1.0	0.0	https://vk.com/wall-33327655_5225	2016-10-20	17:30
7	2.2	2.0	2.0	https://vk.com/wall-33327655_6643	2017-10-24	23:07	2017-10-25	134.0	106.0	7.0	3.0	https://vk.com/wall-33327655_6654	2017-10-25	22:24
9	2.2	2.0	2.0	https://vk.com/wall-33327655_8323	2019-10-23	23:30	2019-10-24	142.0	72.0	3.0	3.0	https://vk.com/wall-33327655_8412	2019-11-01	0:00
9	2.2	2.0	2.0	https://vk.com/wall-33327655_8385	2019-10-29	23:30	2019-10-30	142.0	72.0	3.0	3.0	https://vk.com/wall-33327655_8412	2019-11-01	0:00
10	2.2	2.0	2.0	https://vk.com/wall-33327655_9228	2020-11-04	20:50	2020-11-05	148.0	75.0	8.0	0.0	https://vk.com/wall-33327655_9340	2020-11-11	13:03
11	2.2	2.0	2.0	https://vk.com/wall-33327655_9901	2021-10-12	10:40	2021-10-12	122.0	70.0	4.0	0.0	https://vk.com/wall-33327655_9985	2021-10-16	19:05
4	2.3	2.0	3.0	https://vk.com/wall-33327655_2203	2014-11-13	21:40	2014-11-14	105.0	86.0	8.0	0.0	https://vk.com/wall-33327655_2216	2014-11-17	21:21
5	2.3	2.0	3.0	https://vk.com/wall-33327655_3205	2015-10-14	0:32	2015-10-14	113.0	71.0	6.0	0.0	https://vk.com/wall-33327655_3262	2015-10-14	23:54
6	2.3	2.0	3.0	https://vk.com/wall-33327655_5139	2016-10-18	0:04	2016-10-18	96.0	51.0	3.0	0.0	https://vk.com/wall-33327655_5177	2016-10-18	22:45
7	2.3	2.0	3.0	https://vk.com/wall-33327655_6658	2017-10-26	23:32	2017-10-27	110.0	61.0	6.0	1.0	https://vk.com/wall-33327655_6668	2017-10-27	22:30
8	2.3	2.0	3.0	https://vk.com/wall-33327655_7644	2018-10-23	23:19	2018-10-24	107.0	75.0	4.0	1.0	https://vk.com/wall-33327655_7684	2018-10-27	12:00
9	2.3	2.0	3.0	https://vk.com/wall-33327655_8330	2019-10-25	0:21	2019-10-25	123.0	62.0	3.0	4.0	https://vk.com/wall-33327655_8388	2019-10-30	8:40
10	2.3	2.0	3.0	https://vk.com/wall-33327655_9229	2020-11-04	22:02	2020-11-05	103.0	56.0	1.0	0.0	https://vk.com/wall-33327655_9357	2020-11-12	21:28
11	2.3	2.0	3.0	https://vk.com/wall-33327655_9932	2021-10-13	11:21	2021-10-13	95.0	48.0	0.0	0.0	https://vk.com/wall-33327655_9989	2021-10-16	23:03
11	2.5	2.0	5.0	https://vk.com/wall-33327655_9900	2021-10-12	10:10	2021-10-12	21.0	11.0	0.0	0.0	https://vk.com/wall-33327655_9984	2021-10-16	17:02
4	3.1	3.0	1.0	https://vk.com/wall-33327655_2303	2014-11-24	22:23	2014-11-25	83.0	50.0	1.0	2.0	https://vk.com/wall-33327655_2311	2014-11-25	21:43
