meaningful_word	convocation_no	parent_meaningful_word	cnt
организуют	1	организовать	1.0
досуг	1	досуг	1.0
объединить	1	объединить	1.0
усилия	1	усилие	1.0
наши	1	наш	1.0
намного	1	намного	1.0
лучше	1	хороший	1.0
интересней	1	интересный	1.0
широких	1	широкий	1.0
масс	1	масса	1.0
электронной	1	электронный	1.0
библиотеке	1	библиотека	1.0
мммф	1	мммфа	1.0
посещаю	1	посещать	1.0
связи	1	связь	1.0
чем	1	чем	1.0
проблемами	1	проблема	1.0
спешных	1	спешный	1.0
декабрьских	1	декабрьский	1.0
прошёл	1	пройти	1.0
новый	1	новый	1.0
кандидат	1	кандидат	1.0
второго	1	второй	1.0
выбраться	1	выбраться	1.0
учебная	1	учебный	1.0
часть	1	часть	1.0
срезала	1	срезать	1.0
делом	1	дело	1.0
закончить	1	закончить	1.0
устав	1	устать	1.0
пятеро	1	пятеро	1.0
работавших	1	работать	1.0
декабря	1	декабрь	1.0
начали	1	начать	1.0
писать	1	писать	1.0
ключевыми	1	ключевой	1.0
пунктами	1	пункт	1.0
устава	1	устав	1.0
отчётность	1	отчётность	1.0
даты	1	дата	1.0
известны	1	известный	1.0
заранее	1	заранее	1.0
прийти	1	прийти	1.0
собрание	1	собрание	1.0
мехматянин	1	мехматянин	1.0
протоколы	1	протокол	1.0
отчёты	1	отчёт	1.0
встречах	1	встреча	1.0
публикуются	1	публиковаться	1.0
официального	1	официальный	1.0
получения	1	получение	1.0
мехматских	1	мехматский	1.0
открытых	1	открытый	1.0
впервые	1	впервые	1.0
пункты	1	пункт	1.0
добавить	1	добавить	1.0
пункт	1	пункт	1.0
отсутствии	1	отсутствие	1.0
привилегий	1	привилегия	1.0
членство	1	членство	1.0
влечёт	1	влечь	1.0
собой	1	себя	1.0
асперку	1	аспёрка	1.0
практикует	1	практиковать	1.0
студком	1	студкома	1.0
занимают	1	занимать	1.0
пост	1	пост	1.0
комнаты	1	комната	1.0
гарантирует	1	гарантировать	1.0
повышенную	1	повышенный	1.0
стипендию	1	стипендия	1.0
правила	1	правило	1.0
учебные	1	учебный	1.0
общажные	1	общажный	1.0
этажи	1	этаж	1.0
связаны	1	связать	1.0
переходом	1	переход	1.0
открывается	1	открываться	1.0
три	1	три	1.0
часа	1	час	1.0
необоснованно	1	необоснованно	1.0
закрыт	1	закрытый	1.0
остальное	1	остальной	1.0
лифты	1	лифт	1.0
загружены	1	загрузить	1.0
конкретно	1	конкретно	1.0
перехода	1	переход	1.0
существуют	1	существовать	1.0
целом	1	целое	1.0
согласно	1	согласно	1.0
новому	1	новый	1.0
приказу	1	приказ	1.0
ночь	1	ночь	1.0
асперках	1	аспёрка	1.0
возникнет	1	возникнуть	1.0
целый	1	целый	1.0
ряд	1	ряд	1.0
летом	1	лето	1.0
осуществляться	1	осуществляться	1.0
введения	1	введение	1.0
смогут	1	смочь	1.0
комнат	1	комната	1.0
заставят	1	заставить	1.0
оставлять	1	оставлять	1.0
студаки	1	студаки	1.0
вахте	1	вахта	1.0
контроль	1	контроль	1.0
разрешат	1	разрешить	1.0
ночью	1	ночью	1.0
согласовываться	1	согласовываться	1.0
турникет	1	турникет	1.0
планируется	1	планироваться	1.0
позиция	1	позиция	1.0
отсутствие	1	отсутствие	1.0
контроля	1	контроль	1.0
неоставление	1	неоставление	1.0
студаков	1	студаковы	1.0
любых	1	любой	1.0
хозяева	1	хозяин	1.0
хотят	1	хотеть	1.0
следует	1	следовать	1.0
открыть	1	открыть	1.0
8	1	8	1.0
00	1	00	1.0
22	1	22	1.0
30	1	30	1.0
сильная	1	сильный	1.0
говорящая	1	говорящий	1.0
имени	1	имя	1.0
двух	1	два	1.0
тысяч	1	тысяча	1.0
аспирантов	1	аспирант	1.0
выбранная	1	выбрать	1.0
ими	1	они	1.0
касающихся	1	касаться	1.0
добиться	1	добиться	1.0
улучшений	1	улучшение	1.0
существующее	1	существующий	1.0
дел	1	дело	1.0
поддерживаю	1	поддерживать	1.0
создания	1	создание	1.0
праздникам	1	праздник	1.0
которую	1	который	1.0
войти	1	войти	1.0
мехматяне	1	мехматян	1.0
желающие	1	желать	1.0
дней	1	день	1.0
химика	1	химик	1.0
правильным	1	правильный	1.0
пропорциональность	1	пропорциональность	1.0
представительства	1	представительство	1.0
факультетов	1	факультет	1.0
схеме	1	схема	1.0
1-2-3	1	1-2-3	1.0
начислении	1	начисление	1.0
стипендий	1	стипендия	1.0
имевшим	1	иметь	1.0
сдавшим	1	сдать	1.0
вкратце	1	вкратце	1.0
сапунов	1	сапун	1.0
кирилл	1	кирилл	1.0
студентом	1	студент	1.0
325	1	325	1.0
кафедры	1	кафедра	1.0
газовой	1	газовый	1.0
волновой	1	волновой	1.0
динамики	1	динамика	1.0
нашему	1	наш	1.0
замечательному	1	замечательный	1.0
самому	1	сам	1.0
лучшему	1	хороший	1.0
факультету	1	факультет	1.0
всеми	1	весь	1.0
приемной	1	приёмный	1.0
комиссии	1	комиссия	1.0
активно	1	активно	1.0
помогал	1	помогать	1.0
направления	1	направление	1.0
которыми	1	который	1.0
технического	1	технический	1.0
практического	1	практический	1.0
оснащения	1	оснащение	1.0
пример	1	пример	1.0
утепления	1	утепление	1.0
аудиториях	1	аудитория	1.0
12	1	12	1.0
этажа	1	этаж	1.0
окна	1	окно	1.0
закрываются	1	закрываться	1.0
холодно	1	холодно	1.0
обновление	1	обновление	1.0
стендов	1	стенд	1.0
кафедр	1	кафедра	1.0
пропаганда	1	пропаганда	1.0
абитуриентов	1	абитуриент	1.0
набора	1	набор	1.0
изменение	1	изменение	1.0
сектора	1	сектор	1.0
б	1	б	1.0
сектор	1	сектор	1.0
13	1	13	1.0
маша	1	маша	1.0
4ом	1	4ом	1.0
кафедре	1	кафедра	1.0
дифференциальных	1	дифференциальный	1.0
уравнений	1	уравнение	1.0
профсоюзной	1	профсоюзный	1.0
представитель	1	представитель	1.0
студенческом	1	студенческий	1.0
форуме	1	форум	1.0
карелии	1	карелия	1.0
увеличивать	1	увеличивать	1.0
значимость	1	значимость	1.0
позиций	1	позиция	1.0
студенческую	1	студенческий	1.0
мир	1	мир	1.0
дружба	1	дружба	1.0
жвачка	1	жвачка	1.0
своих	1	свой	1.0
староста	1	староста	1.0
409	1	409	1.0
занимающегося	1	заниматься	1.0
проведением	1	проведение	1.0
интеллектуальных	1	интеллектуальный	1.0
игр	1	игра	1.0
сбтп	1	сбтп	1.0
выступлений	1	выступление	1.0
иду	1	идти	1.0
принимать	1	принимать	1.0
максимально	1	максимально	1.0
деятельное	1	деятельный	1.0
активное	1	активный	1.0
руку	1	рука	1.0
пульсе	1	пульс	1.0
баллотировался	1	баллотироваться	1.0
выборы	1	выборы	1.0
проводились	1	проводиться	1.0
спешке	1	спешка	1.0
трое	1	трое	1.0
кандидатов	1	кандидат	1.0
потока	1	поток	1.0
набрали	1	набрать	1.0
одинаковое	1	одинаковый	1.0
количество	1	количество	1.0
голосов	1	голос	1.0
совет	1	совет	1.0
пройти	1	пройти	1.0
двое	1	двое	1.0
согласился	1	согласиться	1.0
уступить	1	уступить	1.0
выдвигаться	1	выдвигаться	1.0
вновь	1	вновь	1.0
следующих	1	следующий	1.0
нормально	1	нормально	1.0
подготовленных	1	подготовить	1.0
небольших	1	небольшой	1.0
внутримехматских	1	внутримехматский	1.0
проекта	1	проект	1.0
помощью	1	помощь	1.0
бывал	1	бывать	1.0
биолога	1	биолог	1.0
удивляется	1	удивляться	1.0
устраивается	1	устраиваться	1.0
ничего	1	ничего	1.0
подобного	1	подобный	1.0
наш	1	наш	1.0
праздник	1	праздник	1.0
скромнее	1	скромный	1.0
размаху	1	размах	1.0
силу	1	сила	1.0
причин	1	причина	1.0
прошлом	1	прошлый	1.0
праздничное	1	праздничный	1.0
выступление	1	выступление	1.0
вернее	1	верный	1.0
неофициально	1	неофициально	1.0
экспромта	1	экспромт	1.0
студсовету	1	студсовет	1.0
взять	1	взять	1.0
проконтролировать	1	проконтролировать	1.0
проведение	1	проведение	1.0
праздника	1	праздник	1.0
ибо	1	ибо	1.0
наравне	1	наравне	1.0
посвятом	1	посвятой	1.0
днём	1	день	1.0
неким	1	некий	1.0
